model,arm,task,passed,trials,rate
gpt55,analogcoder,eda_005,2,3,0.6666666666666666
gpt55,analogcoder,eda_006,2,3,0.6666666666666666
gpt55,analogcoder,eda_007,0,3,0.0
gpt55,analogcoder,eda_008,0,3,0.0
gpt55,analogcoder,eda_009,3,3,1.0
gpt55,analogcoder,eda_010,3,3,1.0
gpt55,analogcoder,eda_016,1,3,0.3333333333333333
gpt55,analogcoder,eda_024,1,3,0.3333333333333333
gpt55,analogcoder,eda_027,0,3,0.0
gpt55,analogcoder,eda_037,3,3,1.0
gpt55,analogcoder,eda_201,3,3,1.0
gpt55,analogcoder,eda_202,3,3,1.0
gpt55,analogcoder,eda_203,2,3,0.6666666666666666
gpt55,analogcoder,eda_204,0,3,0.0
gpt55,analogcoder,eda_205,1,3,0.3333333333333333
gpt55,analogcoder,eda_206,0,3,0.0
gpt55,analogcoder,eda_207,2,3,0.6666666666666666
gpt55,analogcoder,eda_208,0,3,0.0
gpt55,analogcoder,eda_209,1,3,0.3333333333333333
gpt55,analogcoder,eda_210,2,3,0.6666666666666666
gpt55,direct,eda_005,3,3,1.0
gpt55,direct,eda_006,3,3,1.0
gpt55,direct,eda_007,0,3,0.0
gpt55,direct,eda_008,1,3,0.3333333333333333
gpt55,direct,eda_009,3,3,1.0
gpt55,direct,eda_010,3,3,1.0
gpt55,direct,eda_016,0,3,0.0
gpt55,direct,eda_024,1,3,0.3333333333333333
gpt55,direct,eda_027,0,3,0.0
gpt55,direct,eda_037,2,3,0.6666666666666666
gpt55,direct,eda_201,3,3,1.0
gpt55,direct,eda_202,2,3,0.6666666666666666
gpt55,direct,eda_203,0,3,0.0
gpt55,direct,eda_204,0,3,0.0
gpt55,direct,eda_205,2,3,0.6666666666666666
gpt55,direct,eda_206,0,3,0.0
gpt55,direct,eda_207,0,3,0.0
gpt55,direct,eda_208,0,3,0.0
gpt55,direct,eda_209,2,3,0.6666666666666666
gpt55,direct,eda_210,3,3,1.0
gpt55,full,eda_005,3,3,1.0
gpt55,full,eda_006,3,3,1.0
gpt55,full,eda_007,1,3,0.3333333333333333
gpt55,full,eda_008,0,3,0.0
gpt55,full,eda_009,3,3,1.0
gpt55,full,eda_010,3,3,1.0
gpt55,full,eda_016,3,3,1.0
gpt55,full,eda_024,2,3,0.6666666666666666
gpt55,full,eda_027,2,3,0.6666666666666666
gpt55,full,eda_037,3,3,1.0
gpt55,full,eda_201,1,3,0.3333333333333333
gpt55,full,eda_202,1,3,0.3333333333333333
gpt55,full,eda_203,0,3,0.0
gpt55,full,eda_204,0,3,0.0
gpt55,full,eda_205,2,3,0.6666666666666666
gpt55,full,eda_206,2,3,0.6666666666666666
gpt55,full,eda_207,3,3,1.0
gpt55,full,eda_208,3,3,1.0
gpt55,full,eda_209,3,3,1.0
gpt55,full,eda_210,2,3,0.6666666666666666
gpt55,spicepilot,eda_005,1,3,0.3333333333333333
gpt55,spicepilot,eda_006,3,3,1.0
gpt55,spicepilot,eda_007,0,3,0.0
gpt55,spicepilot,eda_008,1,3,0.3333333333333333
gpt55,spicepilot,eda_009,3,3,1.0
gpt55,spicepilot,eda_010,3,3,1.0
gpt55,spicepilot,eda_016,3,3,1.0
gpt55,spicepilot,eda_024,1,3,0.3333333333333333
gpt55,spicepilot,eda_027,3,3,1.0
gpt55,spicepilot,eda_037,0,3,0.0
gpt55,spicepilot,eda_201,1,3,0.3333333333333333
gpt55,spicepilot,eda_202,0,3,0.0
gpt55,spicepilot,eda_203,0,3,0.0
gpt55,spicepilot,eda_204,0,3,0.0
gpt55,spicepilot,eda_205,2,3,0.6666666666666666
gpt55,spicepilot,eda_206,0,3,0.0
gpt55,spicepilot,eda_207,3,3,1.0
gpt55,spicepilot,eda_208,3,3,1.0
gpt55,spicepilot,eda_209,0,3,0.0
gpt55,spicepilot,eda_210,3,3,1.0
qwen36,analogcoder,eda_005,2,3,0.6666666666666666
qwen36,analogcoder,eda_006,0,3,0.0
qwen36,analogcoder,eda_007,0,3,0.0
qwen36,analogcoder,eda_008,1,3,0.3333333333333333
qwen36,analogcoder,eda_009,3,3,1.0
qwen36,analogcoder,eda_010,3,3,1.0
qwen36,analogcoder,eda_016,0,3,0.0
qwen36,analogcoder,eda_024,0,3,0.0
qwen36,analogcoder,eda_027,0,3,0.0
qwen36,analogcoder,eda_037,0,3,0.0
qwen36,analogcoder,eda_201,0,3,0.0
qwen36,analogcoder,eda_202,0,3,0.0
qwen36,analogcoder,eda_203,0,3,0.0
qwen36,analogcoder,eda_204,0,3,0.0
qwen36,analogcoder,eda_205,0,3,0.0
qwen36,analogcoder,eda_206,0,3,0.0
qwen36,analogcoder,eda_207,0,3,0.0
qwen36,analogcoder,eda_208,0,3,0.0
qwen36,analogcoder,eda_209,0,3,0.0
qwen36,analogcoder,eda_210,0,3,0.0
qwen36,direct,eda_005,1,3,0.3333333333333333
qwen36,direct,eda_006,0,3,0.0
qwen36,direct,eda_007,0,3,0.0
qwen36,direct,eda_008,0,3,0.0
qwen36,direct,eda_009,3,3,1.0
qwen36,direct,eda_010,0,3,0.0
qwen36,direct,eda_016,0,3,0.0
qwen36,direct,eda_024,0,3,0.0
qwen36,direct,eda_027,1,3,0.3333333333333333
qwen36,direct,eda_037,2,3,0.6666666666666666
qwen36,direct,eda_201,0,3,0.0
qwen36,direct,eda_202,2,3,0.6666666666666666
qwen36,direct,eda_203,0,3,0.0
qwen36,direct,eda_204,0,3,0.0
qwen36,direct,eda_205,0,3,0.0
qwen36,direct,eda_206,0,3,0.0
qwen36,direct,eda_207,0,3,0.0
qwen36,direct,eda_208,0,3,0.0
qwen36,direct,eda_209,1,3,0.3333333333333333
qwen36,direct,eda_210,0,3,0.0
qwen36,full,eda_005,3,3,1.0
qwen36,full,eda_006,0,3,0.0
qwen36,full,eda_007,1,3,0.3333333333333333
qwen36,full,eda_008,1,3,0.3333333333333333
qwen36,full,eda_009,3,3,1.0
qwen36,full,eda_010,0,3,0.0
qwen36,full,eda_016,2,3,0.6666666666666666
qwen36,full,eda_024,1,3,0.3333333333333333
qwen36,full,eda_027,2,3,0.6666666666666666
qwen36,full,eda_037,1,3,0.3333333333333333
qwen36,full,eda_201,1,3,0.3333333333333333
qwen36,full,eda_202,1,3,0.3333333333333333
qwen36,full,eda_203,0,3,0.0
qwen36,full,eda_204,0,3,0.0
qwen36,full,eda_205,2,3,0.6666666666666666
qwen36,full,eda_206,0,3,0.0
qwen36,full,eda_207,0,3,0.0
qwen36,full,eda_208,0,3,0.0
qwen36,full,eda_209,1,3,0.3333333333333333
qwen36,full,eda_210,0,3,0.0
qwen36,spicepilot,eda_005,3,3,1.0
qwen36,spicepilot,eda_006,1,3,0.3333333333333333
qwen36,spicepilot,eda_007,0,3,0.0
qwen36,spicepilot,eda_008,1,3,0.3333333333333333
qwen36,spicepilot,eda_009,3,3,1.0
qwen36,spicepilot,eda_010,2,3,0.6666666666666666
qwen36,spicepilot,eda_016,0,3,0.0
qwen36,spicepilot,eda_024,0,3,0.0
qwen36,spicepilot,eda_027,0,3,0.0
qwen36,spicepilot,eda_037,0,3,0.0
qwen36,spicepilot,eda_201,0,3,0.0
qwen36,spicepilot,eda_202,0,3,0.0
qwen36,spicepilot,eda_203,0,3,0.0
qwen36,spicepilot,eda_204,0,3,0.0
qwen36,spicepilot,eda_205,0,3,0.0
qwen36,spicepilot,eda_206,0,3,0.0
qwen36,spicepilot,eda_207,0,3,0.0
qwen36,spicepilot,eda_208,0,3,0.0
qwen36,spicepilot,eda_209,0,3,0.0
qwen36,spicepilot,eda_210,0,3,0.0
qwen38,analogcoder,eda_005,2,3,0.6666666666666666
qwen38,analogcoder,eda_006,1,3,0.3333333333333333
qwen38,analogcoder,eda_007,0,3,0.0
qwen38,analogcoder,eda_008,0,3,0.0
qwen38,analogcoder,eda_009,2,3,0.6666666666666666
qwen38,analogcoder,eda_010,3,3,1.0
qwen38,analogcoder,eda_016,2,3,0.6666666666666666
qwen38,analogcoder,eda_024,0,3,0.0
qwen38,analogcoder,eda_027,0,3,0.0
qwen38,analogcoder,eda_037,0,3,0.0
qwen38,analogcoder,eda_201,1,3,0.3333333333333333
qwen38,analogcoder,eda_202,1,3,0.3333333333333333
qwen38,analogcoder,eda_203,0,3,0.0
qwen38,analogcoder,eda_204,0,3,0.0
qwen38,analogcoder,eda_205,1,3,0.3333333333333333
qwen38,analogcoder,eda_206,0,3,0.0
qwen38,analogcoder,eda_207,1,3,0.3333333333333333
qwen38,analogcoder,eda_208,0,3,0.0
qwen38,analogcoder,eda_209,0,3,0.0
qwen38,analogcoder,eda_210,1,3,0.3333333333333333
qwen38,direct,eda_005,0,3,0.0
qwen38,direct,eda_006,0,3,0.0
qwen38,direct,eda_007,0,3,0.0
qwen38,direct,eda_008,0,3,0.0
qwen38,direct,eda_009,0,3,0.0
qwen38,direct,eda_010,0,3,0.0
qwen38,direct,eda_016,1,3,0.3333333333333333
qwen38,direct,eda_024,0,3,0.0
qwen38,direct,eda_027,0,3,0.0
qwen38,direct,eda_037,0,3,0.0
qwen38,direct,eda_201,0,3,0.0
qwen38,direct,eda_202,0,3,0.0
qwen38,direct,eda_203,0,3,0.0
qwen38,direct,eda_204,0,3,0.0
qwen38,direct,eda_205,0,3,0.0
qwen38,direct,eda_206,0,3,0.0
qwen38,direct,eda_207,2,3,0.6666666666666666
qwen38,direct,eda_208,0,3,0.0
qwen38,direct,eda_209,0,3,0.0
qwen38,direct,eda_210,0,3,0.0
qwen38,full,eda_005,1,3,0.3333333333333333
qwen38,full,eda_006,0,3,0.0
qwen38,full,eda_007,0,3,0.0
qwen38,full,eda_008,0,3,0.0
qwen38,full,eda_009,2,3,0.6666666666666666
qwen38,full,eda_010,2,3,0.6666666666666666
qwen38,full,eda_016,0,3,0.0
qwen38,full,eda_024,0,3,0.0
qwen38,full,eda_027,2,3,0.6666666666666666
qwen38,full,eda_037,2,3,0.6666666666666666
qwen38,full,eda_201,1,3,0.3333333333333333
qwen38,full,eda_202,1,3,0.3333333333333333
qwen38,full,eda_203,1,3,0.3333333333333333
qwen38,full,eda_204,0,3,0.0
qwen38,full,eda_205,0,3,0.0
qwen38,full,eda_206,0,3,0.0
qwen38,full,eda_207,3,3,1.0
qwen38,full,eda_208,1,3,0.3333333333333333
qwen38,full,eda_209,0,3,0.0
qwen38,full,eda_210,0,3,0.0
qwen38,spicepilot,eda_005,2,3,0.6666666666666666
qwen38,spicepilot,eda_006,1,3,0.3333333333333333
qwen38,spicepilot,eda_007,0,3,0.0
qwen38,spicepilot,eda_008,0,3,0.0
qwen38,spicepilot,eda_009,3,3,1.0
qwen38,spicepilot,eda_010,3,3,1.0
qwen38,spicepilot,eda_016,3,3,1.0
qwen38,spicepilot,eda_024,0,3,0.0
qwen38,spicepilot,eda_027,1,3,0.3333333333333333
qwen38,spicepilot,eda_037,1,3,0.3333333333333333
qwen38,spicepilot,eda_201,3,3,1.0
qwen38,spicepilot,eda_202,2,3,0.6666666666666666
qwen38,spicepilot,eda_203,0,3,0.0
qwen38,spicepilot,eda_204,0,3,0.0
qwen38,spicepilot,eda_205,0,3,0.0
qwen38,spicepilot,eda_206,0,3,0.0
qwen38,spicepilot,eda_207,3,3,1.0
qwen38,spicepilot,eda_208,1,3,0.3333333333333333
qwen38,spicepilot,eda_209,0,3,0.0
qwen38,spicepilot,eda_210,0,3,0.0
v32,analogcoder,eda_005,2,3,0.6666666666666666
v32,analogcoder,eda_006,0,3,0.0
v32,analogcoder,eda_007,1,3,0.3333333333333333
v32,analogcoder,eda_008,1,3,0.3333333333333333
v32,analogcoder,eda_009,3,3,1.0
v32,analogcoder,eda_010,3,3,1.0
v32,analogcoder,eda_016,0,3,0.0
v32,analogcoder,eda_024,0,3,0.0
v32,analogcoder,eda_027,1,3,0.3333333333333333
v32,analogcoder,eda_037,1,3,0.3333333333333333
v32,analogcoder,eda_201,3,3,1.0
v32,analogcoder,eda_202,3,3,1.0
v32,analogcoder,eda_203,0,3,0.0
v32,analogcoder,eda_204,0,3,0.0
v32,analogcoder,eda_205,1,3,0.3333333333333333
v32,analogcoder,eda_206,0,3,0.0
v32,analogcoder,eda_207,0,3,0.0
v32,analogcoder,eda_208,0,3,0.0
v32,analogcoder,eda_209,0,3,0.0
v32,analogcoder,eda_210,2,3,0.6666666666666666
v32,direct,eda_005,0,3,0.0
v32,direct,eda_006,2,3,0.6666666666666666
v32,direct,eda_007,0,3,0.0
v32,direct,eda_008,0,3,0.0
v32,direct,eda_009,3,3,1.0
v32,direct,eda_010,1,3,0.3333333333333333
v32,direct,eda_016,0,3,0.0
v32,direct,eda_024,0,3,0.0
v32,direct,eda_027,1,3,0.3333333333333333
v32,direct,eda_037,1,3,0.3333333333333333
v32,direct,eda_201,0,3,0.0
v32,direct,eda_202,3,3,1.0
v32,direct,eda_203,0,3,0.0
v32,direct,eda_204,0,3,0.0
v32,direct,eda_205,0,3,0.0
v32,direct,eda_206,0,3,0.0
v32,direct,eda_207,0,3,0.0
v32,direct,eda_208,0,3,0.0
v32,direct,eda_209,0,3,0.0
v32,direct,eda_210,0,3,0.0
v32,full,eda_005,2,3,0.6666666666666666
v32,full,eda_006,3,3,1.0
v32,full,eda_007,1,3,0.3333333333333333
v32,full,eda_008,1,3,0.3333333333333333
v32,full,eda_009,3,3,1.0
v32,full,eda_010,3,3,1.0
v32,full,eda_016,3,3,1.0
v32,full,eda_024,2,3,0.6666666666666666
v32,full,eda_027,2,3,0.6666666666666666
v32,full,eda_037,3,3,1.0
v32,full,eda_201,1,3,0.3333333333333333
v32,full,eda_202,3,3,1.0
v32,full,eda_203,0,3,0.0
v32,full,eda_204,0,3,0.0
v32,full,eda_205,0,3,0.0
v32,full,eda_206,1,3,0.3333333333333333
v32,full,eda_207,2,3,0.6666666666666666
v32,full,eda_208,2,3,0.6666666666666666
v32,full,eda_209,0,3,0.0
v32,full,eda_210,1,3,0.3333333333333333
v32,spicepilot,eda_005,3,3,1.0
v32,spicepilot,eda_006,3,3,1.0
v32,spicepilot,eda_007,1,3,0.3333333333333333
v32,spicepilot,eda_008,1,3,0.3333333333333333
v32,spicepilot,eda_009,3,3,1.0
v32,spicepilot,eda_010,3,3,1.0
v32,spicepilot,eda_016,0,3,0.0
v32,spicepilot,eda_024,0,3,0.0
v32,spicepilot,eda_027,1,3,0.3333333333333333
v32,spicepilot,eda_037,0,3,0.0
v32,spicepilot,eda_201,1,3,0.3333333333333333
v32,spicepilot,eda_202,2,3,0.6666666666666666
v32,spicepilot,eda_203,0,3,0.0
v32,spicepilot,eda_204,0,3,0.0
v32,spicepilot,eda_205,0,3,0.0
v32,spicepilot,eda_206,0,3,0.0
v32,spicepilot,eda_207,0,3,0.0
v32,spicepilot,eda_208,0,3,0.0
v32,spicepilot,eda_209,0,3,0.0
v32,spicepilot,eda_210,2,3,0.6666666666666666
v4,analogcoder,eda_005,2,3,0.6666666666666666
v4,analogcoder,eda_006,0,3,0.0
v4,analogcoder,eda_007,0,3,0.0
v4,analogcoder,eda_008,1,3,0.3333333333333333
v4,analogcoder,eda_009,2,3,0.6666666666666666
v4,analogcoder,eda_010,2,3,0.6666666666666666
v4,analogcoder,eda_016,0,3,0.0
v4,analogcoder,eda_024,0,3,0.0
v4,analogcoder,eda_027,2,3,0.6666666666666666
v4,analogcoder,eda_037,1,3,0.3333333333333333
v4,analogcoder,eda_201,3,3,1.0
v4,analogcoder,eda_202,3,3,1.0
v4,analogcoder,eda_203,0,3,0.0
v4,analogcoder,eda_204,0,3,0.0
v4,analogcoder,eda_205,0,3,0.0
v4,analogcoder,eda_206,0,3,0.0
v4,analogcoder,eda_207,1,3,0.3333333333333333
v4,analogcoder,eda_208,0,3,0.0
v4,analogcoder,eda_209,2,3,0.6666666666666666
v4,analogcoder,eda_210,3,3,1.0
v4,direct,eda_005,1,3,0.3333333333333333
v4,direct,eda_006,1,3,0.3333333333333333
v4,direct,eda_007,0,3,0.0
v4,direct,eda_008,0,3,0.0
v4,direct,eda_009,3,3,1.0
v4,direct,eda_010,3,3,1.0
v4,direct,eda_016,3,3,1.0
v4,direct,eda_024,0,3,0.0
v4,direct,eda_027,3,3,1.0
v4,direct,eda_037,3,3,1.0
v4,direct,eda_201,3,3,1.0
v4,direct,eda_202,2,3,0.6666666666666666
v4,direct,eda_203,0,3,0.0
v4,direct,eda_204,0,3,0.0
v4,direct,eda_205,0,3,0.0
v4,direct,eda_206,0,3,0.0
v4,direct,eda_207,0,3,0.0
v4,direct,eda_208,1,3,0.3333333333333333
v4,direct,eda_209,0,3,0.0
v4,direct,eda_210,3,3,1.0
v4,equal_call,eda_005,3,3,1.0
v4,equal_call,eda_006,2,3,0.6666666666666666
v4,equal_call,eda_007,1,3,0.3333333333333333
v4,equal_call,eda_008,1,3,0.3333333333333333
v4,equal_call,eda_009,3,3,1.0
v4,equal_call,eda_010,3,3,1.0
v4,equal_call,eda_016,3,3,1.0
v4,equal_call,eda_024,1,3,0.3333333333333333
v4,equal_call,eda_027,3,3,1.0
v4,equal_call,eda_037,3,3,1.0
v4,equal_call,eda_201,0,3,0.0
v4,equal_call,eda_202,3,3,1.0
v4,equal_call,eda_203,0,3,0.0
v4,equal_call,eda_204,0,3,0.0
v4,equal_call,eda_205,1,3,0.3333333333333333
v4,equal_call,eda_206,3,3,1.0
v4,equal_call,eda_207,1,3,0.3333333333333333
v4,equal_call,eda_208,0,3,0.0
v4,equal_call,eda_209,2,3,0.6666666666666666
v4,equal_call,eda_210,1,3,0.3333333333333333
v4,full,eda_005,3,3,1.0
v4,full,eda_006,3,3,1.0
v4,full,eda_007,0,3,0.0
v4,full,eda_008,2,3,0.6666666666666666
v4,full,eda_009,3,3,1.0
v4,full,eda_010,3,3,1.0
v4,full,eda_016,3,3,1.0
v4,full,eda_024,1,3,0.3333333333333333
v4,full,eda_027,3,3,1.0
v4,full,eda_037,3,3,1.0
v4,full,eda_201,3,3,1.0
v4,full,eda_202,1,3,0.3333333333333333
v4,full,eda_203,0,3,0.0
v4,full,eda_204,1,3,0.3333333333333333
v4,full,eda_205,0,3,0.0
v4,full,eda_206,3,3,1.0
v4,full,eda_207,3,3,1.0
v4,full,eda_208,3,3,1.0
v4,full,eda_209,3,3,1.0
v4,full,eda_210,2,3,0.6666666666666666
v4,no_cleanup,eda_005,3,3,1.0
v4,no_cleanup,eda_006,3,3,1.0
v4,no_cleanup,eda_007,0,3,0.0
v4,no_cleanup,eda_008,2,3,0.6666666666666666
v4,no_cleanup,eda_009,3,3,1.0
v4,no_cleanup,eda_010,3,3,1.0
v4,no_cleanup,eda_016,3,3,1.0
v4,no_cleanup,eda_024,0,3,0.0
v4,no_cleanup,eda_027,3,3,1.0
v4,no_cleanup,eda_037,3,3,1.0
v4,no_cleanup,eda_201,3,3,1.0
v4,no_cleanup,eda_202,3,3,1.0
v4,no_cleanup,eda_203,0,3,0.0
v4,no_cleanup,eda_204,0,3,0.0
v4,no_cleanup,eda_205,1,3,0.3333333333333333
v4,no_cleanup,eda_206,2,3,0.6666666666666666
v4,no_cleanup,eda_207,3,3,1.0
v4,no_cleanup,eda_208,3,3,1.0
v4,no_cleanup,eda_209,3,3,1.0
v4,no_cleanup,eda_210,1,3,0.3333333333333333
v4,no_family_prompts,eda_005,3,3,1.0
v4,no_family_prompts,eda_006,2,3,0.6666666666666666
v4,no_family_prompts,eda_007,1,3,0.3333333333333333
v4,no_family_prompts,eda_008,1,3,0.3333333333333333
v4,no_family_prompts,eda_009,3,3,1.0
v4,no_family_prompts,eda_010,3,3,1.0
v4,no_family_prompts,eda_016,3,3,1.0
v4,no_family_prompts,eda_024,0,3,0.0
v4,no_family_prompts,eda_027,2,3,0.6666666666666666
v4,no_family_prompts,eda_037,2,3,0.6666666666666666
v4,no_family_prompts,eda_201,2,3,0.6666666666666666
v4,no_family_prompts,eda_202,3,3,1.0
v4,no_family_prompts,eda_203,0,3,0.0
v4,no_family_prompts,eda_204,1,3,0.3333333333333333
v4,no_family_prompts,eda_205,2,3,0.6666666666666666
v4,no_family_prompts,eda_206,2,3,0.6666666666666666
v4,no_family_prompts,eda_207,3,3,1.0
v4,no_family_prompts,eda_208,3,3,1.0
v4,no_family_prompts,eda_209,1,3,0.3333333333333333
v4,no_family_prompts,eda_210,1,3,0.3333333333333333
v4,no_grounding,eda_005,3,3,1.0
v4,no_grounding,eda_006,3,3,1.0
v4,no_grounding,eda_007,0,3,0.0
v4,no_grounding,eda_008,2,3,0.6666666666666666
v4,no_grounding,eda_009,3,3,1.0
v4,no_grounding,eda_010,3,3,1.0
v4,no_grounding,eda_016,3,3,1.0
v4,no_grounding,eda_024,0,3,0.0
v4,no_grounding,eda_027,3,3,1.0
v4,no_grounding,eda_037,3,3,1.0
v4,no_grounding,eda_201,3,3,1.0
v4,no_grounding,eda_202,2,3,0.6666666666666666
v4,no_grounding,eda_203,0,3,0.0
v4,no_grounding,eda_204,0,3,0.0
v4,no_grounding,eda_205,0,3,0.0
v4,no_grounding,eda_206,1,3,0.3333333333333333
v4,no_grounding,eda_207,2,3,0.6666666666666666
v4,no_grounding,eda_208,3,3,1.0
v4,no_grounding,eda_209,2,3,0.6666666666666666
v4,no_grounding,eda_210,2,3,0.6666666666666666
v4,no_preparation,eda_005,3,3,1.0
v4,no_preparation,eda_006,0,3,0.0
v4,no_preparation,eda_007,1,3,0.3333333333333333
v4,no_preparation,eda_008,2,3,0.6666666666666666
v4,no_preparation,eda_009,3,3,1.0
v4,no_preparation,eda_010,3,3,1.0
v4,no_preparation,eda_016,3,3,1.0
v4,no_preparation,eda_024,3,3,1.0
v4,no_preparation,eda_027,3,3,1.0
v4,no_preparation,eda_037,3,3,1.0
v4,no_preparation,eda_201,2,3,0.6666666666666666
v4,no_preparation,eda_202,0,3,0.0
v4,no_preparation,eda_203,0,3,0.0
v4,no_preparation,eda_204,0,3,0.0
v4,no_preparation,eda_205,0,3,0.0
v4,no_preparation,eda_206,2,3,0.6666666666666666
v4,no_preparation,eda_207,3,3,1.0
v4,no_preparation,eda_208,3,3,1.0
v4,no_preparation,eda_209,2,3,0.6666666666666666
v4,no_preparation,eda_210,2,3,0.6666666666666666
v4,spicepilot,eda_005,3,3,1.0
v4,spicepilot,eda_006,0,3,0.0
v4,spicepilot,eda_007,0,3,0.0
v4,spicepilot,eda_008,0,3,0.0
v4,spicepilot,eda_009,3,3,1.0
v4,spicepilot,eda_010,3,3,1.0
v4,spicepilot,eda_016,3,3,1.0
v4,spicepilot,eda_024,0,3,0.0
v4,spicepilot,eda_027,0,3,0.0
v4,spicepilot,eda_037,3,3,1.0
v4,spicepilot,eda_201,3,3,1.0
v4,spicepilot,eda_202,3,3,1.0
v4,spicepilot,eda_203,0,3,0.0
v4,spicepilot,eda_204,0,3,0.0
v4,spicepilot,eda_205,1,3,0.3333333333333333
v4,spicepilot,eda_206,0,3,0.0
v4,spicepilot,eda_207,3,3,1.0
v4,spicepilot,eda_208,3,3,1.0
v4,spicepilot,eda_209,3,3,1.0
v4,spicepilot,eda_210,3,3,1.0
