model,control,task,repeat,full_pass,control_pass,difference
gpt4o,direct,eda_209,3,False,False,0
gpt4o,direct,eda_209,2,False,False,0
gpt4o,direct,eda_208,1,False,False,0
gpt4o,direct,eda_208,3,False,False,0
gpt4o,direct,eda_208,2,False,False,0
gpt4o,direct,eda_005,1,True,False,1
gpt4o,direct,eda_005,3,False,False,0
gpt4o,direct,eda_005,2,False,False,0
gpt4o,direct,eda_201,1,True,False,1
gpt4o,direct,eda_201,3,False,True,-1
gpt4o,direct,eda_201,2,False,True,-1
gpt4o,direct,eda_206,1,False,False,0
gpt4o,direct,eda_206,3,False,False,0
gpt4o,direct,eda_206,2,False,False,0
gpt4o,direct,eda_024,1,False,False,0
gpt4o,direct,eda_024,3,False,False,0
gpt4o,direct,eda_024,2,False,False,0
gpt4o,direct,eda_210,1,False,False,0
gpt4o,direct,eda_210,3,False,False,0
gpt4o,direct,eda_210,2,False,False,0
gpt4o,direct,eda_203,1,False,False,0
gpt4o,direct,eda_203,3,False,False,0
gpt4o,direct,eda_203,2,False,False,0
gpt4o,direct,eda_009,1,True,True,0
gpt4o,direct,eda_009,3,True,True,0
gpt4o,direct,eda_009,2,True,True,0
gpt4o,direct,eda_204,1,False,False,0
gpt4o,direct,eda_204,3,False,False,0
gpt4o,direct,eda_204,2,False,False,0
gpt4o,direct,eda_007,1,True,True,0
gpt4o,direct,eda_007,3,True,True,0
gpt4o,direct,eda_007,2,False,False,0
gpt4o,direct,eda_006,1,False,False,0
gpt4o,direct,eda_006,3,False,False,0
gpt4o,direct,eda_006,2,False,False,0
gpt4o,direct,eda_008,1,False,False,0
gpt4o,direct,eda_008,3,False,False,0
gpt4o,direct,eda_008,2,False,False,0
gpt4o,direct,eda_037,1,False,False,0
gpt4o,direct,eda_037,3,False,False,0
gpt4o,direct,eda_037,2,False,False,0
gpt4o,direct,eda_205,1,False,False,0
gpt4o,direct,eda_205,3,False,False,0
gpt4o,direct,eda_205,2,False,False,0
gpt4o,direct,eda_202,1,False,False,0
gpt4o,direct,eda_202,3,True,False,1
gpt4o,direct,eda_202,2,False,False,0
gpt4o,spicepilot,eda_016,1,False,False,0
gpt4o,spicepilot,eda_016,3,False,False,0
gpt4o,spicepilot,eda_016,2,False,False,0
gpt4o,spicepilot,eda_027,1,True,False,1
gpt4o,spicepilot,eda_027,3,True,False,1
gpt4o,spicepilot,eda_027,2,True,False,1
gpt4o,spicepilot,eda_010,1,True,False,1
gpt4o,spicepilot,eda_010,3,True,False,1
gpt4o,spicepilot,eda_010,2,True,False,1
gpt4o,spicepilot,eda_207,1,False,False,0
gpt4o,spicepilot,eda_207,3,False,False,0
gpt4o,spicepilot,eda_207,2,False,False,0
gpt4o,spicepilot,eda_209,1,False,False,0
gpt4o,spicepilot,eda_209,3,False,False,0
gpt4o,spicepilot,eda_209,2,False,False,0
gpt4o,spicepilot,eda_208,1,False,False,0
gpt4o,spicepilot,eda_208,3,False,False,0
gpt4o,spicepilot,eda_208,2,False,False,0
gpt4o,spicepilot,eda_005,1,True,False,1
gpt4o,spicepilot,eda_005,3,False,False,0
gpt4o,spicepilot,eda_005,2,False,False,0
gpt4o,spicepilot,eda_201,1,True,False,1
gpt4o,spicepilot,eda_201,3,False,False,0
gpt4o,spicepilot,eda_201,2,False,False,0
gpt4o,spicepilot,eda_206,1,False,False,0
gpt4o,spicepilot,eda_206,3,False,False,0
gpt4o,spicepilot,eda_206,2,False,False,0
gpt4o,spicepilot,eda_024,1,False,False,0
gpt4o,spicepilot,eda_024,3,False,False,0
gpt4o,spicepilot,eda_024,2,False,False,0
gpt4o,spicepilot,eda_210,1,False,False,0
gpt4o,spicepilot,eda_210,3,False,False,0
gpt4o,spicepilot,eda_210,2,False,False,0
gpt4o,spicepilot,eda_203,1,False,False,0
gpt4o,spicepilot,eda_203,3,False,False,0
gpt4o,spicepilot,eda_203,2,False,False,0
gpt4o,spicepilot,eda_009,1,True,True,0
gpt4o,spicepilot,eda_009,3,True,True,0
gpt4o,spicepilot,eda_009,2,True,True,0
gpt4o,spicepilot,eda_204,1,False,False,0
gpt4o,spicepilot,eda_204,3,False,False,0
gpt4o,spicepilot,eda_204,2,False,False,0
gpt4o,spicepilot,eda_007,1,True,False,1
gpt4o,spicepilot,eda_007,3,True,False,1
gpt4o,spicepilot,eda_007,2,False,False,0
gpt4o,spicepilot,eda_006,1,False,False,0
gpt4o,spicepilot,eda_006,3,False,False,0
gpt4o,spicepilot,eda_006,2,False,False,0
gpt4o,spicepilot,eda_008,1,False,False,0
gpt4o,spicepilot,eda_008,3,False,False,0
gpt4o,spicepilot,eda_008,2,False,False,0
gpt4o,spicepilot,eda_037,1,False,False,0
gpt4o,spicepilot,eda_037,3,False,False,0
gpt4o,spicepilot,eda_037,2,False,False,0
gpt4o,spicepilot,eda_205,1,False,False,0
gpt4o,spicepilot,eda_205,3,False,False,0
gpt4o,spicepilot,eda_205,2,False,False,0
gpt4o,spicepilot,eda_202,1,False,False,0
gpt4o,spicepilot,eda_202,3,True,False,1
gpt4o,spicepilot,eda_202,2,False,False,0
gpt55,analogcoder,eda_005,1,True,True,0
gpt55,analogcoder,eda_005,2,True,False,1
gpt55,analogcoder,eda_005,3,True,True,0
gpt55,analogcoder,eda_006,1,True,False,1
gpt55,analogcoder,eda_006,2,True,True,0
gpt55,analogcoder,eda_006,3,True,True,0
gpt55,analogcoder,eda_007,1,True,False,1
gpt55,analogcoder,eda_007,2,False,False,0
gpt55,analogcoder,eda_007,3,False,False,0
gpt55,analogcoder,eda_008,1,False,False,0
gpt55,analogcoder,eda_008,2,False,False,0
gpt55,analogcoder,eda_008,3,False,False,0
gpt55,analogcoder,eda_009,1,True,True,0
gpt55,analogcoder,eda_009,2,True,True,0
gpt55,analogcoder,eda_009,3,True,True,0
gpt55,analogcoder,eda_010,1,True,True,0
gpt55,analogcoder,eda_010,2,True,True,0
gpt55,analogcoder,eda_010,3,True,True,0
gpt55,analogcoder,eda_016,1,True,False,1
gpt55,analogcoder,eda_016,2,True,True,0
gpt55,analogcoder,eda_016,3,True,False,1
gpt55,analogcoder,eda_024,1,True,False,1
gpt55,analogcoder,eda_024,2,False,False,0
gpt55,analogcoder,eda_024,3,True,True,0
gpt55,analogcoder,eda_027,1,False,False,0
gpt55,analogcoder,eda_027,2,True,False,1
gpt55,analogcoder,eda_027,3,True,False,1
gpt55,analogcoder,eda_037,1,True,True,0
gpt55,analogcoder,eda_037,2,True,True,0
gpt55,analogcoder,eda_037,3,True,True,0
gpt55,analogcoder,eda_201,1,False,True,-1
gpt55,analogcoder,eda_201,2,False,True,-1
gpt55,analogcoder,eda_201,3,True,True,0
gpt55,analogcoder,eda_202,1,False,True,-1
gpt55,analogcoder,eda_202,2,True,True,0
gpt55,analogcoder,eda_202,3,False,True,-1
gpt55,analogcoder,eda_203,1,False,True,-1
gpt55,analogcoder,eda_203,2,False,True,-1
gpt55,analogcoder,eda_203,3,False,False,0
gpt55,analogcoder,eda_204,1,False,False,0
gpt55,analogcoder,eda_204,2,False,False,0
gpt55,analogcoder,eda_204,3,False,False,0
gpt55,analogcoder,eda_205,1,True,False,1
gpt55,analogcoder,eda_205,2,True,False,1
gpt55,analogcoder,eda_205,3,False,True,-1
gpt55,analogcoder,eda_206,1,False,False,0
gpt55,analogcoder,eda_206,2,True,False,1
gpt55,analogcoder,eda_206,3,True,False,1
gpt55,analogcoder,eda_207,1,True,True,0
gpt55,analogcoder,eda_207,2,True,False,1
gpt55,analogcoder,eda_207,3,True,True,0
gpt55,analogcoder,eda_208,1,True,False,1
gpt55,analogcoder,eda_208,2,True,False,1
gpt55,analogcoder,eda_208,3,True,False,1
gpt55,analogcoder,eda_209,1,True,False,1
gpt55,analogcoder,eda_209,2,True,False,1
gpt55,analogcoder,eda_209,3,True,True,0
gpt55,analogcoder,eda_210,1,True,True,0
gpt55,analogcoder,eda_210,2,False,False,0
gpt55,analogcoder,eda_210,3,True,True,0
gpt55,direct,eda_005,1,True,True,0
gpt55,direct,eda_005,2,True,True,0
gpt55,direct,eda_005,3,True,True,0
gpt55,direct,eda_006,1,True,True,0
gpt55,direct,eda_006,2,True,True,0
gpt55,direct,eda_006,3,True,True,0
gpt55,direct,eda_007,1,True,False,1
gpt55,direct,eda_007,2,False,False,0
gpt55,direct,eda_007,3,False,False,0
gpt55,direct,eda_008,1,False,False,0
gpt55,direct,eda_008,2,False,False,0
gpt55,direct,eda_008,3,False,True,-1
gpt55,direct,eda_009,1,True,True,0
gpt55,direct,eda_009,2,True,True,0
gpt55,direct,eda_009,3,True,True,0
gpt55,direct,eda_010,1,True,True,0
gpt55,direct,eda_010,2,True,True,0
gpt55,direct,eda_010,3,True,True,0
gpt55,direct,eda_016,1,True,False,1
gpt55,direct,eda_016,2,True,False,1
gpt55,direct,eda_016,3,True,False,1
gpt55,direct,eda_024,1,True,True,0
gpt55,direct,eda_024,2,False,False,0
gpt55,direct,eda_024,3,True,False,1
gpt55,direct,eda_027,1,False,False,0
gpt55,direct,eda_027,2,True,False,1
gpt55,direct,eda_027,3,True,False,1
gpt55,direct,eda_037,1,True,False,1
gpt55,direct,eda_037,2,True,True,0
gpt55,direct,eda_037,3,True,True,0
gpt55,direct,eda_201,1,False,True,-1
gpt55,direct,eda_201,2,False,True,-1
gpt55,direct,eda_201,3,True,True,0
gpt55,direct,eda_202,1,False,True,-1
gpt55,direct,eda_202,2,True,False,1
gpt55,direct,eda_202,3,False,True,-1
gpt55,direct,eda_203,1,False,False,0
gpt55,direct,eda_203,2,False,False,0
gpt55,direct,eda_203,3,False,False,0
gpt55,direct,eda_204,1,False,False,0
gpt55,direct,eda_204,2,False,False,0
gpt55,direct,eda_204,3,False,False,0
gpt55,direct,eda_205,1,True,True,0
gpt55,direct,eda_205,2,True,True,0
gpt55,direct,eda_205,3,False,False,0
gpt55,direct,eda_206,1,False,False,0
gpt55,direct,eda_206,2,True,False,1
gpt55,direct,eda_206,3,True,False,1
gpt55,direct,eda_207,1,True,False,1
gpt55,direct,eda_207,2,True,False,1
gpt55,direct,eda_207,3,True,False,1
gpt55,direct,eda_208,1,True,False,1
gpt55,direct,eda_208,2,True,False,1
gpt55,direct,eda_208,3,True,False,1
gpt55,direct,eda_209,1,True,True,0
gpt55,direct,eda_209,2,True,False,1
gpt55,direct,eda_209,3,True,True,0
gpt55,direct,eda_210,1,True,True,0
gpt55,direct,eda_210,2,False,True,-1
gpt55,direct,eda_210,3,True,True,0
gpt55,spicepilot,eda_005,1,True,False,1
gpt55,spicepilot,eda_005,2,True,True,0
gpt55,spicepilot,eda_005,3,True,False,1
gpt55,spicepilot,eda_006,1,True,True,0
gpt55,spicepilot,eda_006,2,True,True,0
gpt55,spicepilot,eda_006,3,True,True,0
gpt55,spicepilot,eda_007,1,True,False,1
gpt55,spicepilot,eda_007,2,False,False,0
gpt55,spicepilot,eda_007,3,False,False,0
gpt55,spicepilot,eda_008,1,False,False,0
gpt55,spicepilot,eda_008,2,False,True,-1
gpt55,spicepilot,eda_008,3,False,False,0
gpt55,spicepilot,eda_009,1,True,True,0
gpt55,spicepilot,eda_009,2,True,True,0
gpt55,spicepilot,eda_009,3,True,True,0
gpt55,spicepilot,eda_010,1,True,True,0
gpt55,spicepilot,eda_010,2,True,True,0
gpt55,spicepilot,eda_010,3,True,True,0
gpt55,spicepilot,eda_016,1,True,True,0
gpt55,spicepilot,eda_016,2,True,True,0
gpt55,spicepilot,eda_016,3,True,True,0
gpt55,spicepilot,eda_024,1,True,True,0
gpt55,spicepilot,eda_024,2,False,False,0
gpt55,spicepilot,eda_024,3,True,False,1
gpt55,spicepilot,eda_027,1,False,True,-1
gpt55,spicepilot,eda_027,2,True,True,0
gpt55,spicepilot,eda_027,3,True,True,0
gpt55,spicepilot,eda_037,1,True,False,1
gpt55,spicepilot,eda_037,2,True,False,1
gpt55,spicepilot,eda_037,3,True,False,1
gpt55,spicepilot,eda_201,1,False,False,0
gpt55,spicepilot,eda_201,2,False,True,-1
gpt55,spicepilot,eda_201,3,True,False,1
gpt55,spicepilot,eda_202,1,False,False,0
gpt55,spicepilot,eda_202,2,True,False,1
gpt55,spicepilot,eda_202,3,False,False,0
gpt55,spicepilot,eda_203,1,False,False,0
gpt55,spicepilot,eda_203,2,False,False,0
gpt55,spicepilot,eda_203,3,False,False,0
gpt55,spicepilot,eda_204,1,False,False,0
gpt55,spicepilot,eda_204,2,False,False,0
gpt55,spicepilot,eda_204,3,False,False,0
gpt55,spicepilot,eda_205,1,True,True,0
gpt55,spicepilot,eda_205,2,True,True,0
gpt55,spicepilot,eda_205,3,False,False,0
gpt55,spicepilot,eda_206,1,False,False,0
gpt55,spicepilot,eda_206,2,True,False,1
gpt55,spicepilot,eda_206,3,True,False,1
gpt55,spicepilot,eda_207,1,True,True,0
gpt55,spicepilot,eda_207,2,True,True,0
gpt55,spicepilot,eda_207,3,True,True,0
gpt55,spicepilot,eda_208,1,True,True,0
gpt55,spicepilot,eda_208,2,True,True,0
gpt55,spicepilot,eda_208,3,True,True,0
gpt55,spicepilot,eda_209,1,True,False,1
gpt55,spicepilot,eda_209,2,True,False,1
gpt55,spicepilot,eda_209,3,True,False,1
gpt55,spicepilot,eda_210,1,True,True,0
gpt55,spicepilot,eda_210,2,False,True,-1
gpt55,spicepilot,eda_210,3,True,True,0
qwen36,analogcoder,eda_016,1,True,False,1
qwen36,analogcoder,eda_016,3,True,False,1
qwen36,analogcoder,eda_016,2,False,False,0
qwen36,analogcoder,eda_027,1,False,False,0
qwen36,analogcoder,eda_027,3,True,False,1
qwen36,analogcoder,eda_027,2,True,False,1
qwen36,analogcoder,eda_010,1,False,True,-1
qwen36,analogcoder,eda_010,3,False,True,-1
qwen36,analogcoder,eda_010,2,False,True,-1
qwen36,analogcoder,eda_207,1,False,False,0
qwen36,analogcoder,eda_207,3,False,False,0
qwen36,analogcoder,eda_207,2,False,False,0
qwen36,analogcoder,eda_209,1,False,False,0
qwen36,analogcoder,eda_209,3,False,False,0
qwen36,analogcoder,eda_209,2,True,False,1
qwen36,analogcoder,eda_208,1,False,False,0
qwen36,analogcoder,eda_208,3,False,False,0
qwen36,analogcoder,eda_208,2,False,False,0
qwen36,analogcoder,eda_005,1,True,True,0
qwen36,analogcoder,eda_005,3,True,True,0
qwen36,analogcoder,eda_005,2,True,False,1
qwen36,analogcoder,eda_201,1,False,False,0
qwen36,analogcoder,eda_201,3,True,False,1
qwen36,analogcoder,eda_201,2,False,False,0
qwen36,analogcoder,eda_206,1,False,False,0
qwen36,analogcoder,eda_206,3,False,False,0
qwen36,analogcoder,eda_206,2,False,False,0
qwen36,analogcoder,eda_024,1,False,False,0
qwen36,analogcoder,eda_024,3,True,False,1
qwen36,analogcoder,eda_024,2,False,False,0
qwen36,analogcoder,eda_210,1,False,False,0
qwen36,analogcoder,eda_210,3,False,False,0
qwen36,analogcoder,eda_210,2,False,False,0
qwen36,analogcoder,eda_203,1,False,False,0
qwen36,analogcoder,eda_203,3,False,False,0
qwen36,analogcoder,eda_203,2,False,False,0
qwen36,analogcoder,eda_009,1,True,True,0
qwen36,analogcoder,eda_009,3,True,True,0
qwen36,analogcoder,eda_009,2,True,True,0
qwen36,analogcoder,eda_204,1,False,False,0
qwen36,analogcoder,eda_204,3,False,False,0
qwen36,analogcoder,eda_204,2,False,False,0
qwen36,analogcoder,eda_007,1,False,False,0
qwen36,analogcoder,eda_007,3,True,False,1
qwen36,analogcoder,eda_007,2,False,False,0
qwen36,analogcoder,eda_006,1,False,False,0
qwen36,analogcoder,eda_006,3,False,False,0
qwen36,analogcoder,eda_006,2,False,False,0
qwen36,analogcoder,eda_008,1,False,False,0
qwen36,analogcoder,eda_008,3,True,False,1
qwen36,analogcoder,eda_008,2,False,True,-1
qwen36,analogcoder,eda_037,1,True,False,1
qwen36,analogcoder,eda_037,3,False,False,0
qwen36,analogcoder,eda_037,2,False,False,0
qwen36,analogcoder,eda_205,1,True,False,1
qwen36,analogcoder,eda_205,3,False,False,0
qwen36,analogcoder,eda_205,2,True,False,1
qwen36,analogcoder,eda_202,1,True,False,1
qwen36,analogcoder,eda_202,3,False,False,0
qwen36,analogcoder,eda_202,2,False,False,0
qwen36,direct,eda_016,1,True,False,1
qwen36,direct,eda_016,3,True,False,1
qwen36,direct,eda_016,2,False,False,0
qwen36,direct,eda_027,1,False,True,-1
qwen36,direct,eda_027,3,True,False,1
qwen36,direct,eda_027,2,True,False,1
qwen36,direct,eda_010,1,False,False,0
qwen36,direct,eda_010,3,False,False,0
qwen36,direct,eda_010,2,False,False,0
qwen36,direct,eda_207,1,False,False,0
qwen36,direct,eda_207,3,False,False,0
qwen36,direct,eda_207,2,False,False,0
qwen36,direct,eda_209,1,False,True,-1
qwen36,direct,eda_209,3,False,False,0
qwen36,direct,eda_209,2,True,False,1
qwen36,direct,eda_208,1,False,False,0
qwen36,direct,eda_208,3,False,False,0
qwen36,direct,eda_208,2,False,False,0
qwen36,direct,eda_005,1,True,False,1
qwen36,direct,eda_005,3,True,True,0
qwen36,direct,eda_005,2,True,False,1
qwen36,direct,eda_201,1,False,False,0
qwen36,direct,eda_201,3,True,False,1
qwen36,direct,eda_201,2,False,False,0
qwen36,direct,eda_206,1,False,False,0
qwen36,direct,eda_206,3,False,False,0
qwen36,direct,eda_206,2,False,False,0
qwen36,direct,eda_024,1,False,False,0
qwen36,direct,eda_024,3,True,False,1
qwen36,direct,eda_024,2,False,False,0
qwen36,direct,eda_210,1,False,False,0
qwen36,direct,eda_210,3,False,False,0
qwen36,direct,eda_210,2,False,False,0
qwen36,direct,eda_203,1,False,False,0
qwen36,direct,eda_203,3,False,False,0
qwen36,direct,eda_203,2,False,False,0
qwen36,direct,eda_009,1,True,True,0
qwen36,direct,eda_009,3,True,True,0
qwen36,direct,eda_009,2,True,True,0
qwen36,direct,eda_204,1,False,False,0
qwen36,direct,eda_204,3,False,False,0
qwen36,direct,eda_204,2,False,False,0
qwen36,direct,eda_007,1,False,False,0
qwen36,direct,eda_007,3,True,False,1
qwen36,direct,eda_007,2,False,False,0
qwen36,direct,eda_006,1,False,False,0
qwen36,direct,eda_006,3,False,False,0
qwen36,direct,eda_006,2,False,False,0
qwen36,direct,eda_008,1,False,False,0
qwen36,direct,eda_008,3,True,False,1
qwen36,direct,eda_008,2,False,False,0
qwen36,direct,eda_037,1,True,True,0
qwen36,direct,eda_037,3,False,False,0
qwen36,direct,eda_037,2,False,True,-1
qwen36,direct,eda_205,1,True,False,1
qwen36,direct,eda_205,3,False,False,0
qwen36,direct,eda_205,2,True,False,1
qwen36,direct,eda_202,1,True,True,0
qwen36,direct,eda_202,3,False,False,0
qwen36,direct,eda_202,2,False,True,-1
qwen36,spicepilot,eda_016,1,True,False,1
qwen36,spicepilot,eda_016,3,True,False,1
qwen36,spicepilot,eda_016,2,False,False,0
qwen36,spicepilot,eda_027,1,False,False,0
qwen36,spicepilot,eda_027,3,True,False,1
qwen36,spicepilot,eda_027,2,True,False,1
qwen36,spicepilot,eda_010,1,False,True,-1
qwen36,spicepilot,eda_010,3,False,True,-1
qwen36,spicepilot,eda_010,2,False,False,0
qwen36,spicepilot,eda_207,1,False,False,0
qwen36,spicepilot,eda_207,3,False,False,0
qwen36,spicepilot,eda_207,2,False,False,0
qwen36,spicepilot,eda_209,1,False,False,0
qwen36,spicepilot,eda_209,3,False,False,0
qwen36,spicepilot,eda_209,2,True,False,1
qwen36,spicepilot,eda_208,1,False,False,0
qwen36,spicepilot,eda_208,3,False,False,0
qwen36,spicepilot,eda_208,2,False,False,0
qwen36,spicepilot,eda_005,1,True,True,0
qwen36,spicepilot,eda_005,3,True,True,0
qwen36,spicepilot,eda_005,2,True,True,0
qwen36,spicepilot,eda_201,1,False,False,0
qwen36,spicepilot,eda_201,3,True,False,1
qwen36,spicepilot,eda_201,2,False,False,0
qwen36,spicepilot,eda_206,1,False,False,0
qwen36,spicepilot,eda_206,3,False,False,0
qwen36,spicepilot,eda_206,2,False,False,0
qwen36,spicepilot,eda_024,1,False,False,0
qwen36,spicepilot,eda_024,3,True,False,1
qwen36,spicepilot,eda_024,2,False,False,0
qwen36,spicepilot,eda_210,1,False,False,0
qwen36,spicepilot,eda_210,3,False,False,0
qwen36,spicepilot,eda_210,2,False,False,0
qwen36,spicepilot,eda_203,1,False,False,0
qwen36,spicepilot,eda_203,3,False,False,0
qwen36,spicepilot,eda_203,2,False,False,0
qwen36,spicepilot,eda_009,1,True,True,0
qwen36,spicepilot,eda_009,3,True,True,0
qwen36,spicepilot,eda_009,2,True,True,0
qwen36,spicepilot,eda_204,1,False,False,0
qwen36,spicepilot,eda_204,3,False,False,0
qwen36,spicepilot,eda_204,2,False,False,0
qwen36,spicepilot,eda_007,1,False,False,0
qwen36,spicepilot,eda_007,3,True,False,1
qwen36,spicepilot,eda_007,2,False,False,0
qwen36,spicepilot,eda_006,1,False,False,0
qwen36,spicepilot,eda_006,3,False,False,0
qwen36,spicepilot,eda_006,2,False,True,-1
qwen36,spicepilot,eda_008,1,False,True,-1
qwen36,spicepilot,eda_008,3,True,False,1
qwen36,spicepilot,eda_008,2,False,False,0
qwen36,spicepilot,eda_037,1,True,False,1
qwen36,spicepilot,eda_037,3,False,False,0
qwen36,spicepilot,eda_037,2,False,False,0
qwen36,spicepilot,eda_205,1,True,False,1
qwen36,spicepilot,eda_205,3,False,False,0
qwen36,spicepilot,eda_205,2,True,False,1
qwen36,spicepilot,eda_202,1,True,False,1
qwen36,spicepilot,eda_202,3,False,False,0
qwen36,spicepilot,eda_202,2,False,False,0
qwen38,analogcoder,eda_005,1,False,True,-1
qwen38,analogcoder,eda_005,2,True,True,0
qwen38,analogcoder,eda_005,3,False,False,0
qwen38,analogcoder,eda_006,1,False,False,0
qwen38,analogcoder,eda_006,2,False,True,-1
qwen38,analogcoder,eda_006,3,False,False,0
qwen38,analogcoder,eda_007,1,False,False,0
qwen38,analogcoder,eda_007,2,False,False,0
qwen38,analogcoder,eda_007,3,False,False,0
qwen38,analogcoder,eda_008,1,False,False,0
qwen38,analogcoder,eda_008,2,False,False,0
qwen38,analogcoder,eda_008,3,False,False,0
qwen38,analogcoder,eda_009,1,False,True,-1
qwen38,analogcoder,eda_009,2,True,True,0
qwen38,analogcoder,eda_009,3,True,False,1
qwen38,analogcoder,eda_010,1,True,True,0
qwen38,analogcoder,eda_010,2,False,True,-1
qwen38,analogcoder,eda_010,3,True,True,0
qwen38,analogcoder,eda_016,1,False,True,-1
qwen38,analogcoder,eda_016,2,False,True,-1
qwen38,analogcoder,eda_016,3,False,False,0
qwen38,analogcoder,eda_024,1,False,False,0
qwen38,analogcoder,eda_024,2,False,False,0
qwen38,analogcoder,eda_024,3,False,False,0
qwen38,analogcoder,eda_027,1,True,False,1
qwen38,analogcoder,eda_027,2,True,False,1
qwen38,analogcoder,eda_027,3,False,False,0
qwen38,analogcoder,eda_037,1,True,False,1
qwen38,analogcoder,eda_037,2,False,False,0
qwen38,analogcoder,eda_037,3,True,False,1
qwen38,analogcoder,eda_201,1,False,False,0
qwen38,analogcoder,eda_201,2,True,False,1
qwen38,analogcoder,eda_201,3,False,True,-1
qwen38,analogcoder,eda_202,1,False,False,0
qwen38,analogcoder,eda_202,2,True,False,1
qwen38,analogcoder,eda_202,3,False,True,-1
qwen38,analogcoder,eda_203,1,False,False,0
qwen38,analogcoder,eda_203,2,True,False,1
qwen38,analogcoder,eda_203,3,False,False,0
qwen38,analogcoder,eda_204,1,False,False,0
qwen38,analogcoder,eda_204,2,False,False,0
qwen38,analogcoder,eda_204,3,False,False,0
qwen38,analogcoder,eda_205,1,False,False,0
qwen38,analogcoder,eda_205,2,False,False,0
qwen38,analogcoder,eda_205,3,False,True,-1
qwen38,analogcoder,eda_206,1,False,False,0
qwen38,analogcoder,eda_206,2,False,False,0
qwen38,analogcoder,eda_206,3,False,False,0
qwen38,analogcoder,eda_207,1,True,False,1
qwen38,analogcoder,eda_207,2,True,False,1
qwen38,analogcoder,eda_207,3,True,True,0
qwen38,analogcoder,eda_208,1,True,False,1
qwen38,analogcoder,eda_208,2,False,False,0
qwen38,analogcoder,eda_208,3,False,False,0
